




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (125)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K27me3_MCF-7.intersect_with_DeepZ.genes_uniq.txt (FDR)
system development (GO:0048731)	4330	66	26.28	+	2.51	7.34E-15	5.80E-11
nervous system development (GO:0007399)	2218	47	13.46	+	3.49	4.81E-15	7.60E-11
multicellular organism development (GO:0007275)	4941	68	29.99	+	2.27	3.82E-13	1.51E-09
anatomical structure development (GO:0048856)	5330	71	32.35	+	2.19	3.47E-13	1.83E-09
neurogenesis (GO:0022008)	1391	34	8.44	+	4.03	2.08E-12	5.48E-09
developmental process (GO:0032502)	5797	73	35.18	+	2.07	2.08E-12	6.57E-09
generation of neurons (GO:0048699)	1271	31	7.71	+	4.02	2.63E-11	5.93E-08
neuron differentiation (GO:0030182)	1043	28	6.33	+	4.42	3.44E-11	6.80E-08
multicellular organismal process (GO:0032501)	6926	78	42.04	+	1.86	6.43E-11	1.13E-07
regulation of localization (GO:0032879)	2753	42	16.71	+	2.51	7.31E-09	1.16E-05
anatomical structure morphogenesis (GO:0009653)	2158	36	13.10	+	2.75	1.39E-08	1.99E-05
regulation of neuron projection development (GO:0010975)	447	16	2.71	+	5.90	2.00E-08	2.63E-05
cell differentiation (GO:0030154)	3575	48	21.70	+	2.21	3.60E-08	3.80E-05
regulation of cellular process (GO:0050794)	11351	99	68.89	+	1.44	3.31E-08	4.03E-05
animal organ development (GO:0048513)	3220	45	19.54	+	2.30	3.58E-08	4.04E-05
cellular developmental process (GO:0048869)	3634	48	22.06	+	2.18	4.77E-08	4.43E-05
neuron development (GO:0048666)	846	21	5.13	+	4.09	5.17E-08	4.54E-05
cell development (GO:0048468)	1646	30	9.99	+	3.00	4.71E-08	4.65E-05
regulation of biological process (GO:0050789)	11898	101	72.21	+	1.40	7.88E-08	6.55E-05
positive regulation of neuron projection development (GO:0010976)	161	10	.98	+	10.23	8.82E-08	6.97E-05
biological regulation (GO:0065007)	12568	104	76.28	+	1.36	9.94E-08	7.48E-05
positive regulation of cellular process (GO:0048522)	5741	63	34.84	+	1.81	1.18E-07	8.47E-05
