seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	11919127	11919273	147	*	X001	4879	11917521	11918992	1472	-	134	upstream	134	NPPB
chr1	38100585	38100631	47	*	X002	284654	38076951	38100595	23645	-	0	overlapStart	0	RSPO1
chr1	38100646	38100765	120	*	X003	284654	38076951	38100595	23645	-	50	upstream	50	RSPO1
chr1	70032923	70032950	28	*	X011	57554	70032868	70589171	556304	+	0	inside	54	LRRC7
chr1	70032992	70033007	16	*	X012	57554	70032868	70589171	556304	+	0	inside	123	LRRC7
chr1	70033040	70033110	71	*	X013	57554	70032868	70589171	556304	+	0	inside	171	LRRC7
chr1	70033144	70033161	18	*	X014	57554	70032868	70589171	556304	+	0	inside	275	LRRC7
chr1	71513585	71513641	57	*	X015	5733	71318036	71513491	195456	-	93	upstream	93	PTGER3
chr1	107682778	107682798	21	*	X022	22854	107682629	108024475	341847	+	0	inside	148	NTNG1
chr1	107682828	107682931	104	*	X023	22854	107682629	108024475	341847	+	0	inside	198	NTNG1
chr1	145039732	145039809	78	*	X029	653513	144676437	145039992	363556	-	0	inside	182	LOC653513
chr1	145040047	145040103	57	*	X030	653513	144676437	145039992	363556	-	54	upstream	54	LOC653513
chr1	145040272	145040297	26	*	X031	653513	144676437	145039992	363556	-	279	upstream	279	LOC653513
chr1	156830408	156830532	125	*	X032	3645	156810665	156828712	18048	-	1695	upstream	1695	INSRR
chr1	166945129	166945153	25	*	X035	387597	166882441	166944561	62121	-	567	upstream	567	ILDR2
chr1	177140482	177140553	72	*	X037	57795	177140633	177251558	110926	+	79	upstream	79	BRINP2
chr1	182758487	182758530	44	*	X038	80896	182758584	182799519	40936	+	53	upstream	53	NPL
chr1	182758547	182758726	180	*	X039	80896	182758584	182799519	40936	+	0	overlapStart	0	NPL
chr1	190447568	190447591	24	*	X041	339479	190066797	190446759	379963	-	808	upstream	808	BRINP3
chr1	192778151	192778341	191	*	X042	5997	192778169	192781407	3239	+	0	overlapStart	0	RGS2
chr1	207627411	207627442	32	*	X044	1380	207627645	207663240	35596	+	202	upstream	202	CR2
chr1	207627480	207627519	40	*	X045	1380	207627645	207663240	35596	+	125	upstream	125	CR2
chr1	240775114	240775419	306	*	X049	64388	240652873	240775462	122590	-	0	inside	42	GREM2
chr1	244080858	244080869	12	*	X050	339529	244080704	244210619	129916	+	0	inside	153	LINC02774
chr2	26785450	26785622	173	*	X053	339778	26785481	26802397	16917	+	0	overlapStart	0	FAM166C
chr2	85980885	85980895	11	*	X058	84913	85980909	86018506	37598	+	13	upstream	13	ATOH8
chr2	170219289	170219495	207	*	X069	4036	169983619	170219122	235504	-	166	upstream	166	LRP2
chr2	217236948	217237206	259	*	X073	57574	217122585	217236750	114166	-	197	upstream	197	MARCHF4
chr3	3840877	3840899	23	*	X075	57633	3841121	3889387	48267	+	221	upstream	221	LRRN1
chr3	3841268	3841364	97	*	X076	57633	3841121	3889387	48267	+	0	inside	146	LRRN1
chr3	8811109	8811142	34	*	X077	5021	8792095	8811300	19206	-	0	inside	157	OXTR
chr3	35680738	35680829	92	*	X081	10777	35680666	35835988	155323	+	0	inside	71	ARPP21
chr3	36421735	36421754	20	*	X083	6769	36422097	36589496	167400	+	342	upstream	342	STAC
chr3	39851443	39851462	20	*	X084	25924	39851303	40301811	450509	+	0	inside	139	MYRIP
chr3	89156959	89156986	28	*	X091	2042	89156674	89531284	374611	+	0	inside	284	EPHA3
chr3	97540916	97541098	183	*	X093	131544	97540884	97663830	122947	+	0	inside	31	CRYBG3
chr3	157824346	157824425	80	*	X103	6474	157813800	157823952	10153	-	393	upstream	393	SHOX2
chr3	186080235	186080270	36	*	X109	1608	185864990	186080023	215034	-	211	upstream	211	DGKG
chr4	66534068	66534135	68	*	X113	100144602	66535679	66559104	23426	+	1543	upstream	1543	EPHA5-AS1
chr4	66536123	66536242	120	*	X114	2044	66185281	66535653	350373	-	469	upstream	469	EPHA5
chr4	66536002	66536032	31	*	X115	2044	66185281	66535653	350373	-	348	upstream	348	EPHA5
chr4	81187628	81187944	317	*	X118	2250	81187742	81212171	24430	+	0	overlapStart	0	FGF5
chr4	94749771	94749904	134	*	X123	474	94750078	94751142	1065	+	173	upstream	173	ATOH1
chr4	121993898	121993906	9	*	X124	79625	121956782	121993673	36892	-	224	upstream	224	NDNF
chr4	146859931	146860215	285	*	X126	152485	146681888	146859607	177720	-	323	upstream	323	ZNF827
chr4	150999247	150999261	15	*	X127	166614	150999426	151178608	179183	+	164	upstream	164	DCLK2
chr4	168155557	168155580	24	*	X135	50859	167654536	168155741	501206	-	0	inside	160	SPOCK3
chr4	168155629	168155759	131	*	X136	50859	167654536	168155741	501206	-	0	overlapStart	0	SPOCK3
chr4	175443800	175443816	17	*	X138	3248	175411328	175444049	32722	-	0	inside	232	HPGD
chr4	175443848	175443860	13	*	X139	3248	175411328	175444049	32722	-	0	inside	188	HPGD
chr5	37839735	37839752	18	*	X143	100861519	37840540	37875900	35361	+	787	upstream	787	GDNF-AS1
chr5	37839735	37839752	18	*	X143	2668	37812779	37839782	27004	-	0	inside	29	GDNF
chr5	37839799	37839819	21	*	X144	100861519	37840540	37875900	35361	+	720	upstream	720	GDNF-AS1
chr5	37839799	37839819	21	*	X144	2668	37812779	37839782	27004	-	16	upstream	16	GDNF
chr5	75378976	75379080	105	*	X150	22987	75379305	75621416	242112	+	224	upstream	224	SV2C
chr5	75379281	75379309	29	*	X151	22987	75379305	75621416	242112	+	0	overlapStart	0	SV2C
chr5	92917644	92917749	106	*	X158	441094	92745065	92917003	171939	-	640	upstream	640	NR2F1-AS1
chr5	92917644	92917749	106	*	X158	7025	92919043	92929786	10744	+	1293	upstream	1293	NR2F1
chr5	111755547	111755574	28	*	X160	54508	111755280	111756677	1398	+	0	inside	266	EPB41L4A-DT
chr5	111755547	111755574	28	*	X160	64097	111478138	111755010	276873	-	536	upstream	536	EPB41L4A
chr5	119799772	119799828	57	*	X161	51334	119800019	120022964	222946	+	190	upstream	190	PRR16
chr5	119800022	119800090	69	*	X162	51334	119800019	120022964	222946	+	0	inside	2	PRR16
chr5	121413876	121414025	150	*	X163	4015	121398890	121414055	15166	-	0	inside	29	LOX
chr5	127873603	127873967	365	*	X164	2201	127593601	127873916	280316	-	0	overlapStart	0	FBN2
chr5	129240572	129240692	121	*	X165	337876	129240523	129522327	281805	+	0	inside	48	CHSY3
chr5	129240820	129240854	35	*	X166	337876	129240523	129522327	281805	+	0	inside	296	CHSY3
chr5	146889847	146889863	17	*	X173	1809	146770371	146889619	119249	-	227	upstream	227	DPYSL3
chr5	175223730	175223734	5	*	X177	10814	175223610	175311023	87414	+	0	inside	119	CPLX2
chr6	1311813	1311918	106	*	X179	94234	1312675	1314993	2319	+	756	upstream	756	FOXQ1
chr6	37666061	37666115	55	*	X180	266727	37600284	37665766	65483	-	294	upstream	294	MDGA1
chr6	88875433	88875549	117	*	X192	1268	88849585	88875767	26183	-	0	inside	217	CNR1
chr6	97285041	97285169	129	*	X196	81491	97241998	97285353	43356	-	0	inside	183	GPR63
chr6	124125318	124125392	75	*	X199	154215	124125069	125146786	1021718	+	0	inside	248	NKAIN2
chr6	166401450	166401460	11	*	X205	90632	166337536	166401527	63992	-	0	inside	66	LINC00473
chr7	12610148	12610374	227	*	X206	85477	12610203	12693228	83026	+	0	overlapStart	0	SCIN
chr7	12610456	12610543	88	*	X207	85477	12610203	12693228	83026	+	0	inside	252	SCIN
chr7	15726393	15726475	83	*	X208	4223	15650837	15726308	75472	-	84	upstream	84	MEOX2
